time	V(n001)	V(n004)	V(n008)
1.121724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.131724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.141724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.151724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.161724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.171724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.181724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.191724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.201724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.211724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.221724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.231724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.241724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.251724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.261724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.271724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.281724561304052e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.291724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.301724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.311724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.321724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.331724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.341724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.351724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.361724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.371724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.381724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.391724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.401724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.411724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.421724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.431724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.441724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.451724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.461724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.471724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.481724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.491724561304053e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.500000000000000e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.510000000000000e-003	5.000000e+000	1.144125e+000	5.000000e+000
1.510198709681142e-003	5.000000e+000	1.145934e+000	4.900645e+000
1.510596129043424e-003	5.000000e+000	1.153334e+000	4.701935e+000
1.511390967767989e-003	5.000000e+000	1.181512e+000	4.304516e+000
1.512270375230898e-003	5.000000e+000	1.240547e+000	3.864812e+000
1.513826647990555e-003	5.000000e+000	1.420052e+000	3.086676e+000
1.515370838745146e-003	5.000000e+000	1.669545e+000	2.314581e+000
1.515803606820001e-003	5.000000e+000	1.752615e+000	2.098197e+000
1.515989948042333e-003	5.000000e+000	1.789879e+000	2.005026e+000
1.516085265862778e-003	5.000000e+000	1.808534e+000	1.957367e+000
1.516178560960571e-003	5.000000e+000	1.826437e+000	1.910720e+000
1.516283734047120e-003	5.000000e+000	1.846169e+000	1.858133e+000
1.516431264605693e-003	5.000000e+000	1.872998e+000	1.784368e+000
1.516626846606932e-003	5.000000e+000	1.907062e+000	1.686577e+000
